,Board Number,Board Name,Board Type,School Number,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,Building Suite,P.O. Box,Street,Municipality,City,Province,Postal Code,Phone Number,Fax Number,School Website,Board Website,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Change in Grade 9 Applied Mathematics Achievement Over Three Years,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of School-Aged Children Who Live in Low-Income Households,"Percentage of Students Whose Parents Have No Degree, Diploma or Certificate",Extract Date,Year
667,B67300,Conseil scolaire catholique Providence,Cath Dist Sch Brd (E/F),728772,École secondaire catholique l'Essor,Catholic,Not applicable,Secondary,French,9-12,,,13605 St.Gregory chemin,Essex,Tecumseh,Ontario,N8N3E4,519-735-4115,519-735-5577,http://www.CscProvidence.ca/lEssor,CscProvidence.ca,740,42.31441,-82.863,25,82,0,0,26,0,,,,85 %,6.0,21 %,-11.0,84 %,-6.0,11,7,2021-07-10 00:00:00,2018
668,B67300,Conseil scolaire catholique Providence,Cath Dist Sch Brd (E/F),708500,École secondaire catholique École secondaire Monseigneur-Bruyère,Catholic,Not applicable,Secondary,French,9-12,,,920 Huron rue,London,London,Ontario,N5Y4K4,519-673-4223,519-675-0788,http://www.CscProvidence.ca/Monseigneur-Bruyere,CscProvidence.ca,220,43.015767,-81.232874,60,60,5,5,30,0,,,,96 %,3.0,36 %,,92 %,0.0,20,5,2021-07-10 00:00:00,2018
669,B67300,Conseil scolaire catholique Providence,Cath Dist Sch Brd (E/F),705438,École secondaire catholique École secondaire Notre-Dame,Catholic,Not applicable,Secondary,French,9-12,,,700 Bristol rue,Woodstock,Woodstock,Ontario,N4T0E4,226-777-1956,,http://www.CscProvidence.ca/Notre-Dame,CscProvidence.ca,80,43.1493,-80.7151,10,80,0,0,20,0,,,,67 %,28.0,N/R,,68 %,-7.0,10,10,2021-07-10 00:00:00,2018
670,B67300,Conseil scolaire catholique Providence,Cath Dist Sch Brd (E/F),705101,École secondaire catholique École secondaire Saint-Dominique-Savio,Catholic,Not applicable,Secondary,French,9-12,,,800 23e est rue,Owen Sound,Owen Sound,Ontario,N4K6Z5,519-371-0627,226-277-0035,http://www.CscProvidence.ca/Saint-Dominique-Savio,CscProvidence.ca,SP,44.56422,-80.9251,SP,SP,SP,SP,SP,SP,,,,N/R,,N/R,,N/R,,SP,SP,2021-07-10 00:00:00,2018
671,B67300,Conseil scolaire catholique Providence,Cath Dist Sch Brd (E/F),791601,École secondaire catholique École secondaire Saint-François-Xavier,Catholic,Not applicable,Secondary,French,9-12,,,901 Les Rapides promenade,Sarnia,Sarnia,Ontario,N7S6K2,519-542-1055,519-542-2841,http://www.CscProvidence.ca/Saint-Francois-Xavier,CscProvidence.ca,90,42.99336,-82.3537,30,80,0,0,30,0,,,,80 %,-12.0,N/R,,96 %,14.0,10,0,2021-07-10 00:00:00,2018
672,B67300,Conseil scolaire catholique Providence,Cath Dist Sch Brd (E/F),707015,École secondaire catholique École secondaire de Pain Court,Catholic,Not applicable,Secondary,French,9-12,,C.P.100,14 Notre Dame rue,Chatham-Kent,Pain Court,Ontario,N0P1Z0,519-352-1614,519-352-9442,http://www.CscProvidence.ca/ESPC,CscProvidence.ca,275,42.39176,-82.2941,15,80,0,0,35,0,,,,69 %,-2.0,29 %,-13.0,83 %,0.0,10,10,2021-07-10 00:00:00,2018
701,B80509,Consortium Centre Jules-Léger,Consortium,900559,Centre Jules-Léger ÉA Difficulté,Provincial,Demonstration,Secondary,French,9-12,,,281 av Lanark,Ottawa,Ottawa,Ontario,K1Z6R8,613-761-9300,613-761-9301,http://www.psbnet.ca/eng/schools/cjl.html,,SP,,,SP,SP,SP,SP,SP,SP,,,,,,,,,,SP,SP,2021-07-10 00:00:00,2018
705,B80509,Consortium Centre Jules-Léger,Consortium,900540,Centre Jules-Léger ÉP Surdité palier,Provincial,Deaf,Secondary,French,9-12,,,281 av Lanark,Ottawa,Ottawa,Ontario,K1Z6R8,613-761-9300,613-761-9301,http://www.psbnet.ca/eng/schools/cjl.html,,SP,,,SP,SP,SP,SP,SP,SP,,,,N/R,,N/R,,,,SP,SP,2021-07-10 00:00:00,2018
706,B66311,CÉP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),922609,École secondaire des adultes Le Carrefour,Public,Adult,Secondary,French,9-12,,,2445 St-Laurent boulevard,Ottawa,Ottawa,Ontario,K1G6C3,613-731-7212,613-731-9629,carrefour.cepeo.on.ca,www.cepeo.on.ca,400,45.38126,-75.6264,95,30,45,50,0,0,,,,,,,,N/R,,30,15,2021-07-10 00:00:00,2018
707,B66311,CÉP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),907430,École secondaire publique De La Salle,Public,Not applicable,Secondary,French,9-12,,,501 ancienne St-Patrick rue,Ottawa,Ottawa,Ontario,K1N8R3,613-789-0053,613-789-1545,http://www.de-la-salle.cepeo.on.ca,www.cepeo.on.ca,950,45.43495,-75.6849,77,40,7,7,18,0,,,,86 %,-12.0,20 %,-50.0,96 %,-2.0,23,7,2021-07-10 00:00:00,2018
708,B66311,CÉP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),912662,École secondaire publique Gisèle-Lalonde,Public,Not applicable,Secondary,French,9-12,,,500 Millennium boulevard,Ottawa,Orléans,Ontario,K4A4X3,613-833-0018,613-833-3030,http://www.gisele-lalonde.cepeo.on.ca,www.cepeo.on.ca,665,45.46873,-75.4453,86,35,2,2,15,0,,,,92 %,-1.0,75 %,-7.0,92 %,-4.0,10,2,2021-07-10 00:00:00,2018
709,B66311,CÉP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),898582,École secondaire publique L'Académie de la Seigneurie,Public,Not applicable,Secondary,French,9-12,,,731 des Pommiers rue,Casselman,Casselman,Ontario,K0A1M0,613-764-0550,613-764-0110,www.academiedelaseigneurie.cepeo.on.ca,www.cepeo.on.ca,80,45.30454,-75.0903,80,20,0,0,10,0,,,,100 %,,86 %,,N/R,,0,10,2021-07-10 00:00:00,2018
710,B66311,CÉP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),920550,École secondaire publique L'Alternative,Public,Not applicable,Secondary,French,9-12,,,2445 St-Laurent boulevard,Ottawa,Ottawa,Ontario,K1G6C3,613-745-0369,613-745-1263,http://www.alternative.cepeo.on.ca,www.cepeo.on.ca,155,45.38116,-75.6263,90,35,35,30,15,0,,,,N/R,,N/R,,N/R,,30,10,2021-07-10 00:00:00,2018
711,B66311,CÉP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),907464,École secondaire publique L'Héritage,Public,Not applicable,Secondary,French,9-12,,,1111 Montréal chemin,Cornwall,Cornwall,Ontario,K6H1E1,613-933-3318,613-938-5445,http://www.heritage.cepeo.on.ca,www.cepeo.on.ca,135,45.01868,-74.7002,60,45,0,0,20,0,,,,83 %,-17.0,N/R,,79 %,-7.0,20,5,2021-07-10 00:00:00,2018
712,B66311,CÉP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),907480,École secondaire publique L'Équinoxe,Public,Not applicable,Secondary,French,9-12,,,399 Isabella rue,Renfrew,PEMBROKE,Ontario,K8A5T4,613-732-1525,613-732-1544,http://www.equinoxe.cepeo.on.ca,www.cepeo.on.ca,SP,45.82461,-77.1217,SP,SP,SP,SP,SP,SP,,,,N/R,,N/R,,N/R,,SP,SP,2021-07-10 00:00:00,2018
713,B66311,CÉP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),949540,École secondaire publique Le Sommet,Public,Not applicable,Secondary,French,9-12,,,894 Cécile boulevard,Champlain,Hawkesbury,Ontario,K6A3R5,613-632-6059,613-632-7808,http://www.lesommet.cepeo.on.ca,www.cepeo.on.ca,285,45.60333,-74.5987,90,15,0,0,15,0,,,,91 %,-7.0,88 %,35.0,97 %,-3.0,20,10,2021-07-10 00:00:00,2018
714,B66311,CÉP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),904945,École secondaire publique Louis-Riel,Public,Not applicable,Secondary,French,9-12,,,1655 Bearbrook chemin,Ottawa,Gloucester,Ontario,K1B4N3,613-590-2233,613-837-6069,http://www.louis-riel.cepeo.on.ca,www.cepeo.on.ca,485,45.4411,-75.5716,85,45,5,5,15,0,,,,97 %,4.0,48 %,-13.0,96 %,2.0,25,10,2021-07-10 00:00:00,2018
715,B66311,CÉP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),901539,École secondaire publique Marc-Garneau,Public,Not applicable,Secondary,French,9-12,,,30 Fullerton avenue,Quinte West,Trenton,Ontario,K8V1E4,613-392-6961,613-392-6759,http://www.marc-garneau.cepeo.on.ca,www.cepeo.on.ca,70,44.1137,-77.5546,60,40,0,0,30,0,,,,80 %,-12.0,N/D,,100 %,0.0,10,0,2021-07-10 00:00:00,2018
716,B66311,CÉP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),930144,École secondaire publique Maurice-Lapointe,Public,Not applicable,Secondary,French,9-12,,,17 BRIDGESTONE DR,Ottawa,KANATA,Ontario,K2M0E9,613-591-5384,613-823-2288,http://www.maurice-lapointe.cepeo.on.ca,www.cepeo.on.ca,215,45.27875,-75.8587,85,50,0,0,25,0,,,,100 %,9.0,N/R,,94 %,-6.0,10,0,2021-07-10 00:00:00,2018
717,B66311,CÉP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),907472,École secondaire publique Mille-Iles,Public,Not applicable,Secondary,French,9-12,,,158 Patrick rue,Kingston,Kingston,Ontario,K7K3P5,613-547-2556,613-547-4758,http://www.mille-iles.cepeo.on.ca,www.cepeo.on.ca,SP,44.24236,-76.5259,SP,SP,SP,SP,SP,SP,,,,95 %,31.0,N/R,,N/R,,SP,SP,2021-07-10 00:00:00,2018
718,B66311,CÉP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),907421,École secondaire publique Omer-Deslauriers,Public,Not applicable,Secondary,French,9-12,,,159 Chesterton promenade,Ottawa,Ottawa,Ontario,K2E7E6,613-820-0992,613-820-9012,www.deslauriers.cepeo.on.ca,www.cepeo.on.ca,360,45.35007,-75.7166,90,80,15,10,15,0,,,,98 %,13.0,96 %,73.0,87 %,1.0,30,15,2021-07-10 00:00:00,2018
754,B66150,DSB Niagara,Pub Dist Sch Brd (E/F),890200,A N Myer Secondary School,Public,Not applicable,Secondary,English,9-12,,,6338 Oneil St,Niagara Falls,Niagara Falls,Ontario,L2J1M7,905-358-5753,905-358-0788,http://anmyer.dsbn.org/,www.dsbn.edu.on.ca,1240,43.12239,-79.1023,9,99,0,1,17,0,,,,87%,1.0,74%,5.0,84%,-4.0,13,5,2021-07-10 00:00:00,2018
756,B66150,DSB Niagara,Pub Dist Sch Brd (E/F),894109,Beamsville District Secondary School,Public,Not applicable,Secondary,English,9-12,,Box 370,4317 Central Ave,Lincoln,Beamsville,Ontario,L0R1B0,905-563-8267,905-563-8260,http://www.beamsvillesecondaryschool.org/,www.dsbn.edu.on.ca,460,43.16755,-79.4736,0,95,0,0,45,0,,,,86%,12.0,62%,16.0,83%,15.0,10,5,2021-07-10 00:00:00,2018
765,B66150,DSB Niagara,Pub Dist Sch Brd (E/F),935455,DSBN Academy,Public,Not applicable,Secondary,English,9-12,,,130 Louth Street,St. Catharines,St. Catharines,Ontario,L2S2T4,905-684-8708,905-684-5169,,www.dsbn.edu.on.ca,200,43.1384,-79.2573,10,100,0,0,30,0,,,,72%,1.0,N/D,,89%,16.0,20,10,2021-07-10 00:00:00,2018
770,B66150,DSB Niagara,Pub Dist Sch Brd (E/F),906328,E L Crossley Secondary School,Public,Not applicable,Secondary,English,9-12,,,350 20 Hwy,Pelham,Fonthill,Ontario,L0S1E0,905-892-2635,905-892-2637,http://elcrossley.dsbn.org/,www.dsbn.edu.on.ca,780,43.0418,-79.3177,2,100,1,1,18,1,,,,80%,-12.0,73%,-13.0,80%,-10.0,5,1,2021-07-10 00:00:00,2018
771,B66150,DSB Niagara,Pub Dist Sch Brd (E/F),906972,Eastdale Secondary School,Public,Not applicable,Secondary,English,9-12,,,170 Wellington St,Welland,Welland,Ontario,L3B1B3,905-734-7458,905-714-0655,http://www.eastdale.ca/,www.dsbn.edu.on.ca,340,42.9871,-79.2252,5,100,0,5,60,0,,,,77%,27.0,67%,23.0,64%,-16.0,25,15,2021-07-10 00:00:00,2018
772,B66150,DSB Niagara,Pub Dist Sch Brd (E/F),907677,Eden High School,Public,Alternative,Secondary,English,9-12,Unit 1,,535 Lake St,St. Catharines,St Catharines,Ontario,L2N4H7,905-646-9884,905-646-3815,http://www.eden.dsbn.org,www.dsbn.edu.on.ca,935,43.19101,-79.2531,10,100,3,4,18,1,,,,93%,9.0,50%,-9.0,92%,-1.0,12,5,2021-07-10 00:00:00,2018
782,B66150,DSB Niagara,Pub Dist Sch Brd (E/F),914010,Governor Simcoe Secondary School,Public,Not applicable,Secondary,English,9-12,,,15 Glenview Ave,St. Catharines,St Catharines,Ontario,L2N2Z7,905-934-4006,905-934-3389,http://govsimcoe.dsbn.org/,www.dsbn.edu.on.ca,815,43.20257,-79.234,5,100,1,1,15,0,,,,87%,13.0,75%,-7.0,84%,4.0,12,7,2021-07-10 00:00:00,2018
786,B66150,DSB Niagara,Pub Dist Sch Brd (E/F),897646,Greater Fort Erie Secondary School,Public,Not applicable,Secondary,English,9-12,,,1640 Garrison Road,Fort Erie,Fort Erie,Ontario,L2A5M4,,,,www.dsbn.edu.on.ca,950,42.90283,-78.9779,2,100,1,1,24,0,,,,82%,,59%,,85%,,19,5,2021-07-10 00:00:00,2018
788,B66150,DSB Niagara,Pub Dist Sch Brd (E/F),914517,Grimsby Secondary School,Public,Not applicable,Secondary,English,9-12,,,5 Boulton Ave,Grimsby,Grimsby,Ontario,L3M1H6,905-945-5416,905-945-4226,http://grimsbyss.dsbn.org/,www.dsbn.edu.on.ca,915,43.19451,-79.5703,3,100,1,1,17,0,,,,93%,7.0,57%,18.0,85%,-5.0,8,2,2021-07-10 00:00:00,2018
798,B66150,DSB Niagara,Pub Dist Sch Brd (E/F),921750,Laura Secord Secondary School,Public,Not applicable,Secondary,English,9-12,,,349 Niagara St,St. Catharines,St Catharines,Ontario,L2M4V9,905-934-8501,905-934-8502,http://secord.dsbn.edu.on.ca/,www.dsbn.edu.on.ca,595,43.1838,-79.2262,6,100,3,3,22,0,,,,92%,1.0,44%,-20.0,82%,1.0,21,8,2021-07-10 00:00:00,2018
799,B66150,DSB Niagara,Pub Dist Sch Brd (E/F),922854,Lifetime Learning Centre Secondary School,Public,Alternative,Secondary,English,9-12,,,535 Lake St,St. Catharines,St Catharines,Ontario,L2N4H7,905-646-3737,905-646-9377,http://www.dsbn.edu.on.ca/llc,www.dsbn.edu.on.ca,185,43.1922,-79.2529,15,100,10,10,5,0,,,,,,,,,,20,10,2021-07-10 00:00:00,2018
814,B66150,DSB Niagara,Pub Dist Sch Brd (E/F),935700,Port Colborne High School,Public,Not applicable,Secondary,English,9-12,,,211 Elgin St,Port Colborne,Port Colborne,Ontario,L3K3K4,905-835-1186,905-835-1085,http://porthigh.dsbn.org/,www.dsbn.edu.on.ca,410,42.8887,-79.2585,0,100,0,0,40,0,,,,89%,19.0,47%,-7.0,61%,-13.0,15,5,2021-07-10 00:00:00,2018
829,B66150,DSB Niagara,Pub Dist Sch Brd (E/F),942464,Sir Winston Churchill Secondary School,Public,Not applicable,Secondary,English,9-12,,,101 Glen Morris Dr,St. Catharines,St Catharines,Ontario,L2T2N1,905-684-6349,905-684-2505,http://sirwinston.dsbn.org/,www.dsbn.edu.on.ca,970,43.1412,-79.2309,17,99,3,3,15,0,,,,82%,9.0,53%,33.0,87%,-3.0,16,6,2021-07-10 00:00:00,2018
832,B66150,DSB Niagara,Pub Dist Sch Brd (E/F),944157,St Catharines Collegiate Institute and Vocational School,Public,Not applicable,Secondary,English,9-12,,,34 Catherine St,St. Catharines,St Catharines,Ontario,L2R5E7,905-687-7301,905-687-1172,http://collegiate.dsbn.org/,www.dsbn.edu.on.ca,555,43.1668,-79.2452,14,100,9,9,56,0,,,,82%,-9.0,38%,2.0,52%,-33.0,26,12,2021-07-10 00:00:00,2018
834,B66150,DSB Niagara,Pub Dist Sch Brd (E/F),945064,Stamford Collegiate,Public,Not applicable,Secondary,English,9-12,,,5775 Drummond Rd,Niagara Falls,Niagara Falls,Ontario,L2G4L2,905-354-7409,905-354-6618,http://stamford.dsbn.org/,www.dsbn.edu.on.ca,585,43.0907,-79.0983,5,100,1,1,46,1,,,,54%,-26.0,67%,20.0,75%,-23.0,22,7,2021-07-10 00:00:00,2018
837,B66150,DSB Niagara,Pub Dist Sch Brd (E/F),948055,Thorold Secondary School,Public,Not applicable,Secondary,English,9-12,,,50 Ormond St N,Thorold,Thorold,Ontario,L2V1Z1,905-227-1188,905-227-1505,http://tss.dsbn.org/,www.dsbn.edu.on.ca,625,43.12904,-79.1988,4,100,2,1,31,0,,,,77%,7.0,48%,12.0,73%,-10.0,17,8,2021-07-10 00:00:00,2018
841,B66150,DSB Niagara,Pub Dist Sch Brd (E/F),947180,Welland Centennial Secondary School,Public,Not applicable,Secondary,English,9-12,,,240 Thorold Rd,Welland,Welland,Ontario,L3C3W2,905-735-0700,905-735-8063,http://centennial.dsbn.org/,www.dsbn.edu.on.ca,910,43.0048,-79.267,6,99,3,3,16,0,,,,88%,1.0,56%,-12.0,75%,-14.0,15,3,2021-07-10 00:00:00,2018
844,B66150,DSB Niagara,Pub Dist Sch Brd (E/F),952214,Westlane Secondary School,Public,Not applicable,Secondary,English,9-12,,,5960 Pitton Rd,Niagara Falls,Niagara Falls,Ontario,L2H1T5,905-356-2401,905-356-1885,http://westlane.dsbn.org/,www.dsbn.edu.on.ca,675,43.0875,-79.1316,27,100,5,5,19,0,,,,97%,24.0,53%,0.0,84%,-11.0,17,7,2021-07-10 00:00:00,2018
853,B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),902292,Cochrane High School,Public,Not applicable,Secondary,English,9-12,,,453 B Chalmers Avenue,Cochrane,Cochrane,Ontario,P0L1C0,705-272-4372,705-272-4384,www.dsb1.ca/schools/eschs,www.dsb1.ca,185,49.07518,-81.019,0,95,0,0,30,0,,,,36%,9.0,15%,15.0,42%,-12.0,10,15,2021-07-10 00:00:00,2018
857,B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),908924,Englehart High School,Public,Not applicable,Secondary,English,9-12,,,61 Fourth St,Englehart,Englehart,Ontario,P0J1H0,705-544-2337,705-544-8577,www.dsb1.ca/schools/ehs,www.dsb1.ca,125,47.82308,-79.8731,0,100,0,0,40,0,,,,100%,38.0,54%,,73%,13.0,15,15,2021-07-10 00:00:00,2018
862,B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),916293,Hearst High School,Public,Not applicable,Secondary,English,9-12,,,27 10th St,Hearst,Hearst,Ontario,P0L1N0,705-362-4591,705-362-7392,http://www.dsb1.ca/schools/hhs,www.dsb1.ca,SP,49.68741,-83.6677,SP,SP,SP,SP,SP,SP,,,,N/R,,N/R,,N/R,,SP,SP,2021-07-10 00:00:00,2018
864,B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),918288,Iroquois Falls Secondary School,Public,Not applicable,Secondary,English,9-12,,,44 Anson Dr,Iroquois Falls,Iroquois Falls,Ontario,P0K1E0,705-258-3921,705-258-3431,http://www.dsb1.ca/ifss,www.dsb1.ca,155,48.76882,-80.6833,0,90,0,0,40,0,,,,35%,-38.0,10%,-5.0,57%,-7.0,20,5,2021-07-10 00:00:00,2018
867,B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),919063,Kapuskasing District High School,Public,Not applicable,Secondary,English,9-12,,,61 Devonshire St,Kapuskasing,Kapuskasing,Ontario,P5N1C5,705-335-6164,705-335-8899,http://www.dsb1.ca/schools/kdhs,www.dsb1.ca,185,49.42065,-82.4345,5,85,0,0,30,0,,,,59%,3.0,N/R,,53%,-28.0,15,5,2021-07-10 00:00:00,2018
870,B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),920363,Kirkland Lake District Composite Secondary School,Public,Vocational/Occupational,Secondary,English,9-12,,,60 Allen Ave,Kirkland Lake,Kirkland Lake,Ontario,P2N3J5,705-567-4981,705-568-8829,http://www.dsb1.ca/schools/kldcs/index.php,www.dsb1.ca,345,48.18484,-80.0208,5,100,0,0,35,0,,,,86%,9.0,58%,22.0,55%,-20.0,20,0,2021-07-10 00:00:00,2018
872,B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),933287,PACE,Public,Adult,Secondary,English,9-12,302,,273 Third Ave,Timmins,Timmins,Ontario,P4N1E2,705-360-8058,705-268-3055,http://www.dsb1.ca/pace/,www.dsb1.ca,SP,48.47482,-81.3294,SP,SP,SP,SP,SP,SP,,,,,,,,N/R,,SP,SP,2021-07-10 00:00:00,2018
875,B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),943509,Roland Michener Secondary School,Public,Not applicable,Secondary,English,9-12,,,155 Legion Dr,Timmins,South Porcupine,Ontario,P0N1H0,705-360-8056,705-360-8057,http://www.dsb1.ca/schools/rmss/index.php,www.dsb1.ca,245,48.4826,-81.2137,0,100,0,0,50,0,,,,59%,-10.0,24%,-32.0,65%,-6.0,10,10,2021-07-10 00:00:00,2018
880,B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),946940,Timiskaming District Secondary School,Public,Not applicable,Secondary,English,9-12,,,90 Niven St,New Liskeard,New Liskeard,Ontario,P0J1P0,705-647-7336,705-647-9260,http://www.dsb1.ca/tdss/,www.dsb1.ca,530,47.51151,-79.6796,3,94,1,1,40,0,,,,91%,9.0,25%,-21.0,78%,3.0,12,7,2021-07-10 00:00:00,2018
883,B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),948578,Timmins High and Vocational School,Public,Not applicable,Secondary,English,9-12,,,451 Theriault Blvd,Timmins,Timmins,Ontario,P4N8B2,705-360-1411,705-268-6603,http://www.dsb1.ca/schools/thvs,www.dsb1.ca,610,48.48595,-81.3499,1,99,1,1,25,0,,,,79%,26.0,56%,21.0,63%,4.0,13,9,2021-07-10 00:00:00,2018
886,B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),687308,Ascension of Our Lord Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,7640 Anaka Drive,Mississauga,Mississauga,Ontario,L4T3H7,905-676-1287,905-678-7177,http://www.dpcdsb.org/ASCEN,www.dpcdsb.org,795,43.72338,-79.6535,34,99,11,11,20,0,,,,86%,-7.0,25%,-9.0,76%,6.0,21,16,2021-07-10 00:00:00,2018
890,B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),749813,Cardinal Ambrozic Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,10 Castle Oaks Crossing,Brampton,Brampton,Ontario,L6P3A2,,,http://www.dpcdsb.org/AMBRO,www.dpcdsb.org,1340,43.78772,-79.6831,28,100,3,3,13,0,,,,91%,0.0,56%,-12.0,86%,3.0,10,11,2021-07-10 00:00:00,2018
891,B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),850888,Cardinal Leger Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,75 Mary St,Brampton,Brampton,Ontario,L6W3K5,905-453-2232,905-796-9620,http://www.dpcdsb.org/LEGER,www.dpcdsb.org,1220,43.68409,-79.7505,22,100,6,6,17,0,,,,90%,2.0,34%,-16.0,76%,1.0,15,7,2021-07-10 00:00:00,2018
899,B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),706957,Father Michael Goetz Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,330 Central Pkwy W,Mississauga,Mississauga,Ontario,L5B3K6,905-277-0326,905-615-1524,http://www.dpcdsb.org/GOETZ,www.dpcdsb.org,1220,43.58188,-79.6358,50,100,18,19,10,0,,,,80%,-3.0,35%,-3.0,81%,3.0,28,8,2021-07-10 00:00:00,2018
905,B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),718114,Holy Name of Mary Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,115 Glenvale Boulevard,Brampton,Brampton,Ontario,L6S3J7,905-458-5541,905-458-4741,http://www.dpcdsb.org/HNMRY,www.dpcdsb.org,725,43.7338,-79.7167,37,100,4,4,7,0,,,,93%,4.0,62%,3.0,94%,8.0,14,9,2021-07-10 00:00:00,2018
907,B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),722790,Iona Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,2170 South Sheridan Way,Mississauga,Mississauga,Ontario,L5J2M4,905-823-0136,905-823-0248,http://www.dpcdsb.org/IONAS,www.dpcdsb.org,740,43.52055,-79.6472,28,100,8,8,18,1,,,,89%,7.0,54%,0.0,87%,2.0,15,3,2021-07-10 00:00:00,2018
908,B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),724564,John Cabot Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,635 Willowbank Trail,Mississauga,Mississauga,Ontario,L4W3L6,905-279-1554,905-279-3419,http://www.dpcdsb.org/CABOT,www.dpcdsb.org,770,43.61262,-79.6208,36,100,16,16,17,0,,,,93%,1.0,49%,-4.0,82%,3.0,21,6,2021-07-10 00:00:00,2018
910,B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),798118,Loyola Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,4010 SladeView Cres,Mississauga,Mississauga,Ontario,L5L6B1,,,http://www.dpcdsb.org/LOYOL,www.dpcdsb.org,1120,43.52648,-79.7129,27,100,3,3,15,0,,,,78%,-10.0,23%,-14.0,85%,5.0,16,6,2021-07-10 00:00:00,2018
913,B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),690694,Notre Dame Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,2 Notre Dame Ave,Brampton,Brampton,Ontario,L6Z4L5,905-840-2802,905-846-2625,http://www.dpcdsb.org/NDAME,www.dpcdsb.org,1550,43.71943,-79.7793,20,99,7,6,13,1,,,,86%,-2.0,37%,-5.0,84%,1.0,13,7,2021-07-10 00:00:00,2018
918,B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),742333,Our Lady of Mount Carmel Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,3700 Trelawny Circle,Mississauga,Mississauga,Ontario,L5N5J7,905-824-1025,905-824-4549,http://www.dpcdsb.org/CARMS,www.dpcdsb.org,1520,43.57465,-79.7719,27,99,6,6,18,0,,,,89%,-3.0,50%,-5.0,89%,0.0,10,4,2021-07-10 00:00:00,2018
922,B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),751430,Philip Pocock Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,4555 Tomken Rd,Mississauga,Mississauga,Ontario,L4W1J9,905-602-6172,905-602-8689,http://www.dpcdsb.org/POCOK,www.dpcdsb.org,1020,43.62485,-79.6258,49,100,9,8,19,1,,,,90%,1.0,48%,7.0,86%,-1.0,19,7,2021-07-10 00:00:00,2018
